iter	Passed	Remaining
666	9643	4814
667	9654	4798
668	9667	4782
669	9682	4769
670	9696	4754
671	9711	4740
672	9722	4723
673	9736	4709
674	9755	4697
675	9770	4683
676	9785	4668
677	9802	4655
678	9819	4642
679	9833	4627
680	9847	4612
681	9860	4597
682	9873	4582
683	9885	4566
684	9898	4551
685	9911	4536
686	9924	4521
687	9935	4505
688	9947	4490
689	9960	4475
690	9973	4460
691	9985	4444
692	9997	4428
693	10009	4413
694	10022	4398
695	10033	4382
696	10046	4367
697	10059	4352
698	10075	4338
699	10090	4324
700	10105	4310
701	10119	4295
702	10132	4280
703	10145	4265
704	10158	4250
705	10172	4236
706	10186	4221
707	10198	4206
708	10211	4191
709	10223	4175
710	10237	4161
711	10250	4146
712	10262	4130
713	10274	4115
714	10287	4100
715	10300	4085
716	10312	4070
717	10326	4055
718	10338	4040
719	10351	4025
720	10363	4010
721	10376	3995
722	10388	3980
723	10401	3965
724	10415	3950
725	10427	3935
726	10440	3920
727	10452	3905
728	10464	3889
729	10475	3874
730	10488	3859
731	10500	3844
732	10512	3829
733	10525	3814
734	10537	3799
735	10550	3784
736	10563	3769
737	10574	3754
738	10587	3739
739	10599	3724
740	10612	3709
741	10623	3693
742	10635	3678
743	10648	3663
744	10660	3648
745	10671	3633
746	10683	3618
747	10695	3603
748	10708	3588
749	10724	3574
750	10736	3559
751	10747	3544
752	10759	3529
753	10772	3514
754	10784	3499
755	10796	3484
756	10810	3470
757	10825	3456
758	10839	3441
759	10851	3426
760	10864	3411
761	10876	3397
762	10888	3382
763	10900	3367
764	10912	3352
765	10924	3337
766	10937	3322
767	10950	3307
768	10962	3292
769	10975	3278
770	10987	3263
771	10999	3248
772	11011	3233
773	11023	3218
774	11035	3203
775	11048	3189
776	11064	3175
777	11076	3160
778	11089	3146
779	11102	3131
780	11113	3116
781	11125	3101
782	11138	3086
783	11150	3072
784	11162	3057
785	11176	3043
786	11188	3028
787	11202	3013
788	11215	2999
789	11227	2984
790	11240	2970
791	11254	2955
792	11271	2942
793	11284	2927
794	11297	2913
795	11310	2898
796	11323	2884
797	11336	2869
798	11348	2854
799	11360	2840
800	11372	2825
801	11385	2810
802	11398	2796
803	11411	2781
804	11424	2767
805	11436	2752
806	11450	2738
807	11465	2724
808	11477	2709
809	11489	2694
810	11502	2680
811	11514	2665
812	11525	2651
813	11537	2636
814	11550	2621
815	11563	2607
816	11582	2594
817	11595	2580
818	11609	2565
819	11622	2551
820	11635	2536
821	11649	2522
822	11664	2508
823	11679	2494
824	11694	2480
825	11710	2466
826	11727	2453
827	11745	2439
828	11762	2426
829	11779	2412
830	11796	2399
831	11813	2385
832	11830	2371
833	11850	2358
834	11871	2345
835	11890	2332
836	11907	2318
837	11925	2305
838	11942	2291
839	11959	2278
840	11976	2264
841	11994	2250
842	12014	2237
843	12034	2224
844	12053	2211
845	12073	2197
846	12091	2184
847	12111	2170
848	12129	2157
849	12149	2144
850	12168	2130
851	12187	2117
852	12207	2103
853	12225	2090
854	12244	2076
855	12263	2063
856	12284	2049
857	12303	2036
858	12323	2022
859	12342	2009
860	12362	1995
861	12381	1982
862	12401	1968
863	12419	1954
864	12438	1941
865	12456	1927
866	12473	1913
867	12489	1899
868	12508	1885
869	12524	1871
870	12541	1857
871	12557	1843
872	12573	1829
873	12589	1815
874	12606	1800
875	12622	1786
876	12639	1772
877	12656	1758
878	12672	1744
879	12686	1730
880	12702	1715
881	12716	1701
882	12731	1686
883	12747	1672
884	12762	1658
885	12778	1644
886	12794	1629
887	12810	1615
888	12826	1601
889	12840	1587
890	12855	1572
891	12869	1558
892	12887	1544
893	12904	1530
894	12920	1515
895	12935	1501
896	12951	1487
897	12968	1473
898	12984	1458
899	13000	1444
900	13015	1430
901	13030	1415
902	13047	1401
903	13067	1387
904	13082	1373
905	13097	1358
906	13112	1344
907	13128	1330
908	13144	1315
909	13160	1301
910	13175	1287
911	13191	1272
912	13206	1258
913	13220	1243
914	13237	1229
915	13254	1215
916	13274	1201
917	13290	1187
918	13306	1172
919	13322	1158
920	13338	1144
921	13354	1129
922	13370	1115
923	13386	1101
924	13403	1086
925	13417	1072
926	13432	1057
927	13447	1043
928	13462	1028
929	13478	1014
930	13494	1000
931	13515	986
932	13536	972
933	13559	958
934	13579	944
935	13601	929
936	13625	916
937	13655	902
938	13676	888
939	13702	874
940	13723	860
941	13742	846
942	13764	831
943	13784	817
944	13805	803
945	13823	789
946	13843	774
947	13864	760
948	13884	746
949	13903	731
950	13925	717
951	13947	703
952	13968	688
953	13992	674
954	14012	660
955	14031	645
956	14049	631
957	14068	616
958	14086	602
959	14104	587
960	14123	573
961	14140	558
962	14159	544
963	14181	529
964	14200	515
965	14217	500
966	14235	485
967	14253	471
968	14271	456
969	14290	441
970	14310	427
971	14339	413
972	14362	398
973	14391	384
974	14416	369
975	14440	355
976	14459	340
977	14477	325
978	14496	310
979	14514	296
980	14535	281
981	14565	266
982	14589	252
983	14610	237
984	14630	222
985	14649	208
986	14668	193
987	14686	178
988	14704	163
989	14722	148
990	14739	133
991	14757	119
992	14775	104
993	14792	89
994	14810	74
995	14829	59
996	14848	44
997	14865	29
998	14882	14
999	14903	0
